Label,First release,Last release,Releases
Acid Pop Records,1996,1998,12
Acid Rain Records,1999,1999,14
Acid Test,1995,1995,23
Acklins Records,1981,1987,11
Acmec Records,1999,2003,15
Acorde,1980,1980,13
Acorn Music (2),1984,1997,21
Acousteack,1995,1996,19
Acoustic Vibes,2003,2003,19
Acoustica (3),1985,1988,12
Acoustics,1988,1995,13
Acoustics Records,1984,2005,15
Acoustix Productions,1991,1997,16
Acracore,1997,2002,21
Acrobat Music & Media Limited,2002,2002,16
Acruacree,1995,1996,15
Acrude Records,2000,2004,20
Act Your Age,1996,1998,17
Acta,1987,1997,13
Action City Records,1984,1986,12
Action Claw Records,2003,2005,11
Action Musik,1998,1998,17
ActionBoy 300 Records,1995,1997,20
Actitud Mental Positiva Records,1997,2001,25
Activ Music,1993,1994,25
Active Bass Music,1996,1996,16
Active Music (4),2000,2005,13
Active Underground,1998,1998,18
Actual,1988,1995,21
Actual Records,1989,1990,19
Actus,1996,2002,25
Actéon,1984,1989,12
Acupuncture,1994,1994,14
Ad Hoc Records,2004,2004,23
Ad Perpetuam Memoriam,1992,1995,25
Ada Production,1982,1984,14
Adam VIII Ltd. (2),1991,1991,22
Adam World Wide,2004,2005,15
Adapted Vinyl,1999,2002,13
Adar,1991,1995,13
Adasong,1982,1996,18
Adawa Super Records,1981,1988,14
Add Music Co Ltd,2003,2004,19
Adda Distribution,1983,1989,16
Addictive Vinyl,2003,2004,11
Addictive Vinyl UK,2005,2005,12
Addled Records,1984,1988,13
Adelphoi,1993,1997,24
Adequat Records,2000,2001,18
Adiar Cor,1999,2002,14
Adior Production,1997,2004,18
Adivan Romania Prod,1996,1996,14
Adko Records,1980,1981,19
Adolescent Records,1980,1981,11
Adrenalin (3),2000,2001,18
Adrenogroov,2002,2003,24
Advance Warning,1994,1995,13
Advanced Biosystems,1997,1997,12
"Advanced Systems, Inc.",1989,1990,14
Adventure Classic,1995,1995,13
Adventure Dance,1986,1987,15
Adventure Family Records,1987,1989,12
Adventure Record's,1994,1996,14
Adventure Records (2),1980,1982,16
Adventure Records (5),1986,1986,24
Adversity,1995,1997,20
Aegis,1988,1988,19
Aeon,1982,1984,14
Aerial Records (2),2000,2004,13
"Aerobics Records, Inc.",1984,1985,13
Aesova,2001,2003,12
Aether Records,1996,2005,19
Af-Ryth-Mix Sounds,1993,1993,20
Affair Record Company Ltd,1986,1986,13
Affirmation,1982,1984,12
Afflict Records,1985,1985,14
Africa (5),1983,1993,14
Africa Fête Diffusion,1995,2002,13
Africa New Sound,1984,1984,22
Africa Oumba,1980,1984,16
Africagram Records,1983,1984,16
African Cream Music,2003,2005,20
African Dance Records,1993,2002,25
Afrikan Roots Lab,2000,2002,12
Afrimusik,1999,1999,12
Afro Records (2),1994,1996,19
AfroVision Records,1980,1996,20
Afrosound Records,1999,2002,11
After 9,1996,1998,19
After Hours (2),1998,1998,11
After Hours (3),1982,1983,14
After Hours Records,1983,1992,11
After ZERO,1989,1994,16
Afterlife Productions,2002,2004,24
Aftermath Records,1983,1989,16
Afternoon Tea,2001,2004,18
Afters Or Records,1997,2005,14
Aftonbladet,1980,2002,16
Aga Music,1999,2001,22
Against Records (3),2000,2001,13
Against The Flow Records,1997,1998,11
"Agencja Artystyczna ""Łzy""",1998,2002,19
Agencja Kultury Konkret,2002,2005,13
Agenda Records,1990,1990,11
Aggravated Music,2000,2002,14
Aggravated Records,1995,1995,12
Aggressive Punk Tapes,1991,1994,13
Agitprop! Records,2001,2002,17
Agnas Musikproduktioner AB,1996,1998,23
Agni Music,1990,1990,12
Agon,1996,1996,19
Agorá Musica,1995,1999,17
Ahadi,1985,1986,18
Ahmad Dhani Production,1998,2005,14
Aii,1999,2000,14
Aile,1991,1991,13
Ailia,1982,1990,18
Ain't Jokin Records,1992,1993,16
Ainaskin Videos,1992,2002,12
Aion,1993,1994,24
Air (5),2000,2003,11
Air B.Mas Production,1992,1999,25
Air Music (2),2001,2005,12
Air Record,1992,1995,25
Airada,1995,1996,11
Airam Records,1995,1996,12
Aircraft,1982,1983,17
Aircraft Music Library,1984,1986,12
Airgap Records,2000,2000,23
Airlock,1995,1999,15
Airplane,1984,1991,21
Airplay Recordings,1987,1990,22
Airplay Records (6),1995,1996,11
Aisti Records,2001,2001,12
Aiuola Dischi,2003,2004,21
Ajang,1999,2000,13
Ajna Music,2002,2003,12
Aka (3),1981,1983,17
Akademia,1989,1991,14
Akademickie Radio Pomorze,1983,1986,23
Akasha Records (3),1986,1995,13
Akashic Records (35),1984,1986,21
Akfadou Music,1986,1987,16
Akhenation Music,2002,2002,18
Akkiraz,2002,2002,13
Akku Disk,1994,2001,11
Akustik Müzik,2004,2005,23
Al Khemya Production,2000,2002,15
Al Records (5),2003,2003,12
Al's Records,1996,1996,13
Al-D-Hed Promo Group,2001,2002,25
Alacazam!,1989,1990,15
Aladdin,1994,1994,18
Aladdin Records (7),1995,1996,11
Alastor Rex,1996,2004,17
Albatros (8),1995,1999,11
Albatros Digital,2002,2004,24
Albatros Records,1997,2001,19
Albedo,1990,1999,23
Albert Ayler's Jukebox Records,1992,1997,17
Alberta Foundation For The Arts,1993,2002,20
Albertine Records,1989,1990,16
Albophone,1983,2002,15
Album Globe Distribution Co.,1980,1982,22
Alchemax Industries,1994,1995,15
Alchimia,2002,2005,17
Alcione,1996,1999,21
Alcohol,1996,1999,16
Alcom International,1991,1991,14
Aldabra Records,1989,1989,11
Alea Jacta Est,1989,1994,16
Alem Music,2002,2004,20
Alerce Producciones Fonograficas S.A.,1987,1999,11
Alerta! Diskos,1998,2003,13
Alexas Music Connection,1988,2005,13
Alexim,1990,1991,11
Alexx Records,2003,2005,19
Alfa (13),1987,1987,11
Alfa International (3),1987,1988,19
Alfa Produkties nv,1988,1990,14
Alfa Records (3),1983,1986,23
Alfa Studio (3),1991,2001,19
Alfred Publishing Company,1981,2004,18
Algorithme,1996,1997,11
Aliança (2),1996,1999,22
Alien Funk Movement,1995,1995,15
Alien Records (4),1996,1996,16
Alien Records (7),1980,1980,14
Alien Reign,1993,1995,11
Alinnos Records,1996,1998,18
Alinnos Records (2),1995,1995,22
Aliso Records,1981,1990,21
Alison Records,1995,2005,21
Alister Records,1995,1995,24
Alka Records,1996,1996,11
Alkatraz Dope Muzik,1996,1996,14
Alkatraz Productions,1994,1995,20
Alkor Records,1996,1996,11
All About Fame,1992,1992,22
All Access (3),2000,2000,19
All At Once Happy Price Records,1994,1994,15
All City,1992,1996,15
All City Records,1988,1996,25
All Green,2003,2004,23
All Of Us,1993,1993,23
All Or Nothing Records,1986,1993,22
All Or Nothing!,1986,1988,14
All Set ?!,2003,2003,13
All Sport,1983,1983,18
All Star (3),1984,1999,24
All Star Production,1990,1995,20
All Stars (9),1995,1996,12
All That's Jazz,1987,1990,23
All The Way Records,2003,2005,11
Allegiance Records,1982,1987,16
Allegiance Records Ltd.,1982,1984,22
Allegorical Tapes,1994,1995,13
Allegretto (2),1997,2000,13
Allegro Productións CXA,1995,2003,11
Allegro Thaler,1998,1999,21
Allen Street NYC,1995,2000,20
Aller Forlag,2003,2004,18
Alles Real Records,2001,2004,18
Alliance (3),1992,2002,15
Alliance Atlantis,2000,2000,23
Alliant Music Group,2003,2005,15
Alligaator,1994,1998,14
"Alligator Records & Artist Management, Inc.",1985,1991,14
Alliv Records,1991,1991,11
Allmusica Production,1995,2002,11
Allstars,1980,1980,11
Allstars*,1999,2000,12
Alma Art,1983,1987,16
Almafame,1998,2001,25
Almastone,2000,2004,13
Almost Heaven Records,2000,2002,18
Almost Records,1996,1996,22
Aloi Records,1984,1984,12
Alpha,1998,2000,19
Alpha Cat Boogie,2001,2004,16
Alpha Music (7),1989,1995,13
Alpha Records (14),1997,1997,14
Alpha Wave,1998,1998,11
Alphabet City Records,1996,1998,13
Alphabet City Sports Records,1997,1998,16
Alphabet City UK,2000,2000,13
Alphabet Media,1997,1997,11
Alphabet Music,1994,1994,13
Alphabet Zoo,2001,2005,20
Alphaphone Recordings,1995,1997,20
Alpine,1985,1987,12
Alpine Records,1985,1988,17
Alpine Records (2),1999,2001,18
Alpine Records (4),1985,1985,12
Also Ran,2002,2003,11
Also Records,1994,1994,11
Alt Product,1991,1997,23
Altair Four Records,1981,1989,14
Altara (2),2001,2004,13
Alter Ego,2002,2005,19
Alter Ego (6),1994,1994,12
Alter Pop Distribution,1989,1999,19
AlterCulture Records,1995,1996,23
Altered Records,1995,1996,11
Alterflow,1998,1999,15
Alternate,1999,2001,11
Alternate Side Records,2004,2004,14
Alternativa (2),1990,1993,11
Alternative Capitalists,1980,1980,12
Alternative Press,1993,1997,25
Alternative Recording Company,1982,1983,22
Altitude Yellow,2002,2003,19
Alto High-Fidelity,1993,1994,16
Alumetal,1987,1997,18
AmCo Tonträger,1990,1991,25
Amabile,1991,1992,17
Amabile (2),1988,1991,11
Amacif Productions,1999,2005,11
Amadeus Lirica,1988,1999,12
Amag Promet,2005,2005,11
Amalgama,1989,2002,12
Amalgama Music,1999,2000,17
Amanda Music,1991,1991,11
Amanecer Records,2001,2003,11
Amarena Music,2002,2003,13
Amarkord,2005,2005,16
Amateurecords,2000,2005,11
Amazon (2),1994,1998,23
Amazon Records (5),2001,2001,12
Ambassador Records,1995,1997,19
